Комментарий,Модель,avg_loss,avg_acc,avg_iou
1-й этап,mobileNet,0.4864113684167567,0.8550813222668835,0.3729530297840867
2-й этап c аугментациями,mobileNet,0.3098567386263424,0.9216975428394436,0.5945805689063478
1-й этап,Unet,0.2640761458074924,0.9191380579447008,0.5173496450889861
2-й этап c аугментациями,Unet,0.1653759591665464,0.946214784051954,0.6372116613967974
1-й этап,Unet++,0.1473072329440067,0.9523656097884032,0.6982159810548988
2-й этап c аугментациями,Unet++,0.118351866059082,0.9584567030680547,0.6937451176286393
1-й этап,deeplab,0.3531594036780682,0.8905235369180896,0.4872818482539196
2-й этап c аугментациями,deeplab,0.1634593710456927,0.9435165887026444,0.6546808079992684
3-й этап с cross_entropy,Unet++,0.2726471394914941,0.948953092712717,0.73526726966111
3-й этап с dice лосс,Unet++,0.2713102838120509,0.9592886020227804,0.7781443775870103
3-й этап с focal лосс,Unet++,0.1333222520566478,0.9619180541677572,0.760503141584432
3-й этап с lovasz лосс,Unet++,0.1676571811597371,0.9596368160444436,0.7733296310198143
4-й этап обучения,Unet++,0.1471048858515995,0.9598954190912935,0.7902815948178259
